# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    6.758000000000e+03   2.378458196033e+02   2.381697615620e+02    0.000000000000e+00     3.239419586849e-01        2.529604346846e+06      1.223112340406e+03    2.267925406925e+01       1.523293433252e-01        7.463019935100e+01       3.065862072527e+00       6.625883756877e+01  
    6.759000000000e+03   2.378313325506e+02   2.381164807411e+02    0.000000000000e+00     2.851481904901e-01        2.593254576161e+06      1.223115167129e+03    2.260170667099e+01       1.520878763046e-01        7.449887493877e+01       3.065688453984e+00       6.625480178092e+01  
    6.760000000000e+03   2.378120646538e+02   2.383891776890e+02    3.259777687334e-01     2.511352664821e-01        2.326941327494e+06      1.223103340087e+03    2.288201017297e+01       1.517324826090e-01        7.431066572640e+01       3.065453568973e+00       6.624943415054e+01  
    6.761000000000e+03   2.378356153892e+02   2.383358968682e+02    0.000000000000e+00     5.002814789940e-01        2.370431528539e+06      1.223105271498e+03    2.282665523531e+01       1.519008565302e-01        7.442384268522e+01       3.065697455538e+00       6.625599488956e+01  
    6.762000000000e+03   2.378470513260e+02   2.382826160473e+02    0.000000000000e+00     4.355647213543e-01        2.420342571522e+06      1.223107488061e+03    2.276363872292e+01       1.519954622496e-01        7.446275233117e+01       3.065856289178e+00       6.625918070077e+01  
    6.763000000000e+03   2.378490786128e+02   2.382293352265e+02    0.000000000000e+00     3.802566137231e-01        2.475240198684e+06      1.223109926079e+03    2.269470577319e+01       1.519389726324e-01        7.442503868137e+01       3.065894715108e+00       6.625974546019e+01  
    6.764000000000e+03   2.378435108609e+02   2.381760544056e+02    0.000000000000e+00     3.325435447678e-01        2.534163196700e+06      1.223112542865e+03    2.262106064167e+01       1.517428623210e-01        7.431685616833e+01       3.065835871497e+00       6.625819440174e+01  
    6.765000000000e+03   2.378316578359e+02   2.381227735848e+02    0.000000000000e+00     2.911157488852e-01        2.596417390402e+06      1.223115307591e+03    2.254359739348e+01       1.514228287033e-01        7.414661835301e+01       3.065696475208e+00       6.625489239855e+01  
    6.766000000000e+03   2.378145095293e+02   2.380694927639e+02    0.000000000000e+00     2.549832346560e-01        2.661478083258e+06      1.223118196953e+03    2.246300671404e+01       1.509948794459e-01        7.392278156949e+01       3.065489167927e+00       6.625011524138e+01  
    6.767000000000e+03   2.377928406825e+02   2.380162119431e+02    0.000000000000e+00     2.233712605660e-01        2.728934662105e+06      1.223121192718e+03    2.237983800383e+01       1.504738895863e-01        7.365309341283e+01       3.065223846297e+00       6.624407875691e+01  
